"Step","Readout, CN=2, B0=0, B1=0, K=128, L=32, N=8, p_B=0.75, p_C=0.75, B=4, eps=0, lamb=1e-09 - ic1_acc","Readout, CN=2, B0=0, B1=0, K=128, L=32, N=8, p_B=0.75, p_C=0.75, B=4, eps=0, lamb=1e-09 - ic1_acc__MIN","Readout, CN=2, B0=0, B1=0, K=128, L=32, N=8, p_B=0.75, p_C=0.75, B=4, eps=0, lamb=1e-09 - ic1_acc__MAX"
"1","0.026399999856948853","0.026399999856948853","0.026399999856948853"
"12","0.03059999831020832","0.03059999831020832","0.03059999831020832"
"23","0.035099998116493225","0.035099998116493225","0.035099998116493225"
"34","0.03929999843239784","0.03929999843239784","0.03929999843239784"
"45","0.0429999977350235","0.0429999977350235","0.0429999977350235"
"56","0.04690000042319298","0.04690000042319298","0.04690000042319298"
"67","0.05130000039935112","0.05130000039935112","0.05130000039935112"
"78","0.056699998676776886","0.056699998676776886","0.056699998676776886"
"89","0.06539999693632126","0.06539999693632126","0.06539999693632126"
"100","0.07180000096559525","0.07180000096559525","0.07180000096559525"
"111","0.0771000012755394","0.0771000012755394","0.0771000012755394"
"122","0.08500000089406967","0.08500000089406967","0.08500000089406967"
"133","0.09239999949932098","0.09239999949932098","0.09239999949932098"
"144","0.09950000047683716","0.09950000047683716","0.09950000047683716"
"155","0.10719999670982361","0.10719999670982361","0.10719999670982361"
"166","0.11639999598264694","0.11639999598264694","0.11639999598264694"
"177","0.12409999966621399","0.12409999966621399","0.12409999966621399"
"188","0.1314999908208847","0.1314999908208847","0.1314999908208847"
"199","0.142099991440773","0.142099991440773","0.142099991440773"
"210","0.15189999341964722","0.15189999341964722","0.15189999341964722"
"221","0.16040000319480896","0.16040000319480896","0.16040000319480896"
"232","0.16869999468326569","0.16869999468326569","0.16869999468326569"
"243","0.17659999430179596","0.17659999430179596","0.17659999430179596"
"254","0.18439999222755432","0.18439999222755432","0.18439999222755432"
"265","0.1930999904870987","0.1930999904870987","0.1930999904870987"
"276","0.20269998908042908","0.20269998908042908","0.20269998908042908"
"287","0.21149998903274536","0.21149998903274536","0.21149998903274536"
"298","0.22369998693466187","0.22369998693466187","0.22369998693466187"
"309","0.2352999895811081","0.2352999895811081","0.2352999895811081"
"320","0.24300000071525574","0.24300000071525574","0.24300000071525574"
"331","0.25279998779296875","0.25279998779296875","0.25279998779296875"
"342","0.260699987411499","0.260699987411499","0.260699987411499"
"353","0.26999998092651367","0.26999998092651367","0.26999998092651367"
"364","0.27789998054504395","0.27789998054504395","0.27789998054504395"
"375","0.28439998626708984","0.28439998626708984","0.28439998626708984"
"386","0.2946999967098236","0.2946999967098236","0.2946999967098236"
"397","0.30230000615119934","0.30230000615119934","0.30230000615119934"
"408","0.30789998173713684","0.30789998173713684","0.30789998173713684"
"419","0.31189998984336853","0.31189998984336853","0.31189998984336853"
"430","0.3188999891281128","0.3188999891281128","0.3188999891281128"
"441","0.3247999846935272","0.3247999846935272","0.3247999846935272"
"452","0.33079999685287476","0.33079999685287476","0.33079999685287476"
"463","0.3391000032424927","0.3391000032424927","0.3391000032424927"
"474","0.34299999475479126","0.34299999475479126","0.34299999475479126"
"485","0.34869998693466187","0.34869998693466187","0.34869998693466187"
"496","0.35439997911453247","0.35439997911453247","0.35439997911453247"
"507","0.3603000044822693","0.3603000044822693","0.3603000044822693"
"518","0.36629998683929443","0.36629998683929443","0.36629998683929443"
"529","0.3723999857902527","0.3723999857902527","0.3723999857902527"
"540","0.3774999976158142","0.3774999976158142","0.3774999976158142"
"551","0.3807999789714813","0.3807999789714813","0.3807999789714813"
"562","0.3856000006198883","0.3856000006198883","0.3856000006198883"
"573","0.3901999890804291","0.3901999890804291","0.3901999890804291"
"584","0.39479997754096985","0.39479997754096985","0.39479997754096985"
"595","0.4007999897003174","0.4007999897003174","0.4007999897003174"
"606","0.405599981546402","0.405599981546402","0.405599981546402"
"617","0.40869998931884766","0.40869998931884766","0.40869998931884766"
"628","0.41169998049736023","0.41169998049736023","0.41169998049736023"
"639","0.41429999470710754","0.41429999470710754","0.41429999470710754"
"650","0.4165000021457672","0.4165000021457672","0.4165000021457672"
"661","0.41929998993873596","0.41929998993873596","0.41929998993873596"
"672","0.42329999804496765","0.42329999804496765","0.42329999804496765"
"683","0.4253000020980835","0.4253000020980835","0.4253000020980835"
"694","0.4276999831199646","0.4276999831199646","0.4276999831199646"
"705","0.4293999969959259","0.4293999969959259","0.4293999969959259"
"716","0.4334999918937683","0.4334999918937683","0.4334999918937683"
"727","0.4366999864578247","0.4366999864578247","0.4366999864578247"
"738","0.4398999810218811","0.4398999810218811","0.4398999810218811"
"749","0.44269999861717224","0.44269999861717224","0.44269999861717224"
"760","0.444599986076355","0.444599986076355","0.444599986076355"
"771","0.447299987077713","0.447299987077713","0.447299987077713"
"782","0.4487999975681305","0.4487999975681305","0.4487999975681305"
"793","0.4512999951839447","0.4512999951839447","0.4512999951839447"
"804","0.45409998297691345","0.45409998297691345","0.45409998297691345"
"815","0.4562999904155731","0.4562999904155731","0.4562999904155731"
