"Step","Readout, CN=9, B0=9, B1=9, K=128, L=32, N=8, p_B=0.75, p_C=0.75, B=4, eps=0, lamb=1e-09 - ic1_acc","Readout, CN=9, B0=9, B1=9, K=128, L=32, N=8, p_B=0.75, p_C=0.75, B=4, eps=0, lamb=1e-09 - ic1_acc__MIN","Readout, CN=9, B0=9, B1=9, K=128, L=32, N=8, p_B=0.75, p_C=0.75, B=4, eps=0, lamb=1e-09 - ic1_acc__MAX"
"1","0.0030999998562037945","0.0030999998562037945","0.0030999998562037945"
"12","0.0032999999821186066","0.0032999999821186066","0.0032999999821186066"
"23","0.003499999875202775","0.003499999875202775","0.003499999875202775"
"34","0.0037999998312443495","0.0037999998312443495","0.0037999998312443495"
"45","0.004100000020116568","0.004100000020116568","0.004100000020116568"
"56","0.0044999998062849045","0.0044999998062849045","0.0044999998062849045"
"67","0.004799999762326479","0.004799999762326479","0.004799999762326479"
"78","0.005399999674409628","0.005399999674409628","0.005399999674409628"
"89","0.006000000052154064","0.006000000052154064","0.006000000052154064"
"100","0.006300000008195639","0.006300000008195639","0.006300000008195639"
"111","0.007199999876320362","0.007199999876320362","0.007199999876320362"
"122","0.007999999448657036","0.007999999448657036","0.007999999448657036"
"133","0.008599999360740185","0.008599999360740185","0.008599999360740185"
"144","0.00969999935477972","0.00969999935477972","0.00969999935477972"
"155","0.010900000110268593","0.010900000110268593","0.010900000110268593"
"166","0.011899999342858791","0.011899999342858791","0.011899999342858791"
"177","0.012799999676644802","0.012799999676644802","0.012799999676644802"
"188","0.013700000010430813","0.013700000010430813","0.013700000010430813"
"199","0.01529999915510416","0.01529999915510416","0.01529999915510416"
"210","0.016099998727440834","0.016099998727440834","0.016099998727440834"
"221","0.016999999061226845","0.016999999061226845","0.016999999061226845"
"232","0.018699999898672104","0.018699999898672104","0.018699999898672104"
"243","0.020399998873472214","0.020399998873472214","0.020399998873472214"
"254","0.022499999031424522","0.022499999031424522","0.022499999031424522"
"265","0.025299999862909317","0.025299999862909317","0.025299999862909317"
"276","0.026999998837709427","0.026999998837709427","0.026999998837709427"
"287","0.02969999983906746","0.02969999983906746","0.02969999983906746"
"298","0.03199999779462814","0.03199999779462814","0.03199999779462814"
"309","0.034699998795986176","0.034699998795986176","0.034699998795986176"
"320","0.03790000081062317","0.03790000081062317","0.03790000081062317"
"331","0.041099999099969864","0.041099999099969864","0.041099999099969864"
"342","0.04429999738931656","0.04429999738931656","0.04429999738931656"
"353","0.04829999804496765","0.04829999804496765","0.04829999804496765"
"364","0.052299998700618744","0.052299998700618744","0.052299998700618744"
"375","0.05559999868273735","0.05559999868273735","0.05559999868273735"
"386","0.05979999899864197","0.05979999899864197","0.05979999899864197"
"397","0.06359999626874924","0.06359999626874924","0.06359999626874924"
"408","0.06759999692440033","0.06759999692440033","0.06759999692440033"
"419","0.07169999927282333","0.07169999927282333","0.07169999927282333"
"430","0.07769999653100967","0.07769999653100967","0.07769999653100967"
"441","0.08169999718666077","0.08169999718666077","0.08169999718666077"
"452","0.08729999512434006","0.08729999512434006","0.08729999512434006"
"463","0.093299999833107","0.093299999833107","0.093299999833107"
