"Step","Readout, CN=2, B0=0, B1=0, K=128, L=32, N=8, p_B=0.75, p_C=0.75, B=4, eps=0, lamb=1e-09 - ic1_acc","Readout, CN=2, B0=0, B1=0, K=128, L=32, N=8, p_B=0.75, p_C=0.75, B=4, eps=0, lamb=1e-09 - ic1_acc__MIN","Readout, CN=2, B0=0, B1=0, K=128, L=32, N=8, p_B=0.75, p_C=0.75, B=4, eps=0, lamb=1e-09 - ic1_acc__MAX"
"1","0.017500000074505806","0.017500000074505806","0.017500000074505806"
"12","0.02029999904334545","0.02029999904334545","0.02029999904334545"
"23","0.023599999025464058","0.023599999025464058","0.023599999025464058"
"34","0.02539999969303608","0.02539999969303608","0.02539999969303608"
"45","0.028299998492002487","0.028299998492002487","0.028299998492002487"
"56","0.032099999487400055","0.032099999487400055","0.032099999487400055"
"67","0.03590000048279762","0.03590000048279762","0.03590000048279762"
"78","0.04129999876022339","0.04129999876022339","0.04129999876022339"
"89","0.04619999974966049","0.04619999974966049","0.04619999974966049"
"100","0.05199999734759331","0.05199999734759331","0.05199999734759331"
"111","0.05859999731183052","0.05859999731183052","0.05859999731183052"
"122","0.06499999761581421","0.06499999761581421","0.06499999761581421"
"133","0.07289999723434448","0.07289999723434448","0.07289999723434448"
"144","0.07989999651908875","0.07989999651908875","0.07989999651908875"
"155","0.0867999941110611","0.0867999941110611","0.0867999941110611"
"166","0.09649999439716339","0.09649999439716339","0.09649999439716339"
"177","0.10499999672174454","0.10499999672174454","0.10499999672174454"
"188","0.11499999463558197","0.11499999463558197","0.11499999463558197"
"199","0.12399999797344208","0.12399999797344208","0.12399999797344208"
"210","0.13089999556541443","0.13089999556541443","0.13089999556541443"
"221","0.14409999549388885","0.14409999549388885","0.14409999549388885"
"232","0.1550000011920929","0.1550000011920929","0.1550000011920929"
"243","0.1656000018119812","0.1656000018119812","0.1656000018119812"
"254","0.17579999566078186","0.17579999566078186","0.17579999566078186"
"265","0.1882999986410141","0.1882999986410141","0.1882999986410141"
"276","0.19699999690055847","0.19699999690055847","0.19699999690055847"
"287","0.2087000012397766","0.2087000012397766","0.2087000012397766"
"298","0.22049999237060547","0.22049999237060547","0.22049999237060547"
"309","0.23240000009536743","0.23240000009536743","0.23240000009536743"
"320","0.24239999055862427","0.24239999055862427","0.24239999055862427"
"331","0.2514999806880951","0.2514999806880951","0.2514999806880951"
"342","0.262800008058548","0.262800008058548","0.262800008058548"
"353","0.2727999985218048","0.2727999985218048","0.2727999985218048"
"364","0.28380000591278076","0.28380000591278076","0.28380000591278076"
"375","0.2902999818325043","0.2902999818325043","0.2902999818325043"
"386","0.29809999465942383","0.29809999465942383","0.29809999465942383"
"397","0.305899977684021","0.305899977684021","0.305899977684021"
"408","0.31520000100135803","0.31520000100135803","0.31520000100135803"
"419","0.3249000012874603","0.3249000012874603","0.3249000012874603"
"430","0.33239999413490295","0.33239999413490295","0.33239999413490295"
"441","0.3382999897003174","0.3382999897003174","0.3382999897003174"
"452","0.34779998660087585","0.34779998660087585","0.34779998660087585"
"463","0.3538999855518341","0.3538999855518341","0.3538999855518341"
"474","0.36089998483657837","0.36089998483657837","0.36089998483657837"
"485","0.36809998750686646","0.36809998750686646","0.36809998750686646"
"496","0.37469998002052307","0.37469998002052307","0.37469998002052307"
"507","0.3797000050544739","0.3797000050544739","0.3797000050544739"
"518","0.3877999782562256","0.3877999782562256","0.3877999782562256"
"529","0.3933999836444855","0.3933999836444855","0.3933999836444855"
"540","0.3999999761581421","0.3999999761581421","0.3999999761581421"
"551","0.40639999508857727","0.40639999508857727","0.40639999508857727"
"562","0.41099998354911804","0.41099998354911804","0.41099998354911804"
"573","0.4162999987602234","0.4162999987602234","0.4162999987602234"
"584","0.4212999939918518","0.4212999939918518","0.4212999939918518"
"595","0.42729997634887695","0.42729997634887695","0.42729997634887695"
"606","0.43140000104904175","0.43140000104904175","0.43140000104904175"
"617","0.43619999289512634","0.43619999289512634","0.43619999289512634"
"628","0.4396999776363373","0.4396999776363373","0.4396999776363373"
"639","0.44349998235702515","0.44349998235702515","0.44349998235702515"
"650","0.4456999897956848","0.4456999897956848","0.4456999897956848"
"661","0.44859999418258667","0.44859999418258667","0.44859999418258667"
"672","0.4514999985694885","0.4514999985694885","0.4514999985694885"
"683","0.4544999897480011","0.4544999897480011","0.4544999897480011"
"694","0.45819997787475586","0.45819997787475586","0.45819997787475586"
"705","0.46209999918937683","0.46209999918937683","0.46209999918937683"
"716","0.46539998054504395","0.46539998054504395","0.46539998054504395"
"727","0.46719998121261597","0.46719998121261597","0.46719998121261597"
"738","0.4693000018596649","0.4693000018596649","0.4693000018596649"
"749","0.4724999964237213","0.4724999964237213","0.4724999964237213"
"760","0.4748999774456024","0.4748999774456024","0.4748999774456024"
"771","0.47759997844696045","0.47759997844696045","0.47759997844696045"
"782","0.4788999855518341","0.4788999855518341","0.4788999855518341"
"793","0.48099997639656067","0.48099997639656067","0.48099997639656067"
"804","0.4813999831676483","0.4813999831676483","0.4813999831676483"
"815","0.4830999970436096","0.4830999970436096","0.4830999970436096"
"826","0.48579999804496765","0.48579999804496765","0.48579999804496765"
"837","0.4870999753475189","0.4870999753475189","0.4870999753475189"
"848","0.48809999227523804","0.48809999227523804","0.48809999227523804"
"859","0.48979997634887695","0.48979997634887695","0.48979997634887695"
"870","0.49049997329711914","0.49049997329711914","0.49049997329711914"
"881","0.4925999939441681","0.4925999939441681","0.4925999939441681"
"892","0.49239999055862427","0.49239999055862427","0.49239999055862427"
"903","0.4934999942779541","0.4934999942779541","0.4934999942779541"
"914","0.49549999833106995","0.49549999833106995","0.49549999833106995"
"925","0.4974999725818634","0.4974999725818634","0.4974999725818634"
"936","0.49889999628067017","0.49889999628067017","0.49889999628067017"
"947","0.49959999322891235","0.49959999322891235","0.49959999322891235"
"958","0.5012999773025513","0.5012999773025513","0.5012999773025513"
"969","0.5029000043869019","0.5029000043869019","0.5029000043869019"
"980","0.5036999583244324","0.5036999583244324","0.5036999583244324"
"991","0.5047000050544739","0.5047000050544739","0.5047000050544739"
"1002","0.5054999589920044","0.5054999589920044","0.5054999589920044"
"1013","0.5059999823570251","0.5059999823570251","0.5059999823570251"
"1024","0.5065000057220459","0.5065000057220459","0.5065000057220459"
"1035","0.5076999664306641","0.5076999664306641","0.5076999664306641"
"1046","0.5094000101089478","0.5094000101089478","0.5094000101089478"
"1057","0.5090000033378601","0.5090000033378601","0.5090000033378601"
"1068","0.5108000040054321","0.5108000040054321","0.5108000040054321"
"1079","0.5116999745368958","0.5116999745368958","0.5116999745368958"
"1090","0.5126000046730042","0.5126000046730042","0.5126000046730042"
"1101","0.5145999789237976","0.5145999789237976","0.5145999789237976"
"1112","0.5153999924659729","0.5153999924659729","0.5153999924659729"
"1123","0.5167999863624573","0.5167999863624573","0.5167999863624573"
"1134","0.5178999900817871","0.5178999900817871","0.5178999900817871"
"1145","0.5180999636650085","0.5180999636650085","0.5180999636650085"
"1156","0.5184999704360962","0.5184999704360962","0.5184999704360962"
"1167","0.5188999772071838","0.5188999772071838","0.5188999772071838"
"1178","0.5196999907493591","0.5196999907493591","0.5196999907493591"
"1189","0.5196999907493591","0.5196999907493591","0.5196999907493591"
"1200","0.5206999778747559","0.5206999778747559","0.5206999778747559"
"1211","0.5214999914169312","0.5214999914169312","0.5214999914169312"
"1222","0.5227000117301941","0.5227000117301941","0.5227000117301941"
"1233","0.5231999754905701","0.5231999754905701","0.5231999754905701"
"1244","0.5238000154495239","0.5238000154495239","0.5238000154495239"
"1255","0.5238999724388123","0.5238999724388123","0.5238999724388123"
"1266","0.5253999829292297","0.5253999829292297","0.5253999829292297"
"1277","0.526699960231781","0.526699960231781","0.526699960231781"
"1288","0.5271999835968018","0.5271999835968018","0.5271999835968018"
"1299","0.5277999639511108","0.5277999639511108","0.5277999639511108"
"1310","0.5291000008583069","0.5291000008583069","0.5291000008583069"
"1321","0.5306999683380127","0.5306999683380127","0.5306999683380127"
"1332","0.5309000015258789","0.5309000015258789","0.5309000015258789"
"1343","0.5309999585151672","0.5309999585151672","0.5309999585151672"
"1354","0.530299961566925","0.530299961566925","0.530299961566925"
"1365","0.5320000052452087","0.5320000052452087","0.5320000052452087"
"1376","0.5328999757766724","0.5328999757766724","0.5328999757766724"
"1387","0.5328999757766724","0.5328999757766724","0.5328999757766724"
"1398","0.5335000157356262","0.5335000157356262","0.5335000157356262"
"1409","0.5346999764442444","0.5346999764442444","0.5346999764442444"
"1420","0.5354999899864197","0.5354999899864197","0.5354999899864197"
"1431","0.5364999771118164","0.5364999771118164","0.5364999771118164"
"1442","0.5370999574661255","0.5370999574661255","0.5370999574661255"
"1453","0.5388000011444092","0.5388000011444092","0.5388000011444092"
"1464","0.5401999950408936","0.5401999950408936","0.5401999950408936"
"1475","0.5399999618530273","0.5399999618530273","0.5399999618530273"
"1486","0.5401999950408936","0.5401999950408936","0.5401999950408936"
"1497","0.5421000123023987","0.5421000123023987","0.5421000123023987"
"1508","0.5422999858856201","0.5422999858856201","0.5422999858856201"
"1519","0.5426999926567078","0.5426999926567078","0.5426999926567078"
"1530","0.5444999933242798","0.5444999933242798","0.5444999933242798"
"1541","0.5453000068664551","0.5453000068664551","0.5453000068664551"
"1552","0.5461999773979187","0.5461999773979187","0.5461999773979187"
