"Step","Readout, CN=2, B0=0, B1=0, K=128, L=32, N=16, p_B=0.75, p_C=0.75, B=8, eps=0, lamb=1e-09 - ic1_acc","Readout, CN=2, B0=0, B1=0, K=128, L=32, N=16, p_B=0.75, p_C=0.75, B=8, eps=0, lamb=1e-09 - ic1_acc__MIN","Readout, CN=2, B0=0, B1=0, K=128, L=32, N=16, p_B=0.75, p_C=0.75, B=8, eps=0, lamb=1e-09 - ic1_acc__MAX"
"1","0.031199999153614044","0.031199999153614044","0.031199999153614044"
"12","0.03500000014901161","0.03500000014901161","0.03500000014901161"
"23","0.04179999977350235","0.04179999977350235","0.04179999977350235"
"34","0.045399997383356094","0.045399997383356094","0.045399997383356094"
"45","0.051500000059604645","0.051500000059604645","0.051500000059604645"
"56","0.05979999899864197","0.05979999899864197","0.05979999899864197"
"67","0.06920000165700912","0.06920000165700912","0.06920000165700912"
"78","0.08179999887943268","0.08179999887943268","0.08179999887943268"
"89","0.09339999407529831","0.09339999407529831","0.09339999407529831"
"100","0.10719999670982361","0.10719999670982361","0.10719999670982361"
"111","0.1193000003695488","0.1193000003695488","0.1193000003695488"
"122","0.13169999420642853","0.13169999420642853","0.13169999420642853"
"133","0.14549998939037323","0.14549998939037323","0.14549998939037323"
"144","0.15799999237060547","0.15799999237060547","0.15799999237060547"
"155","0.17329999804496765","0.17329999804496765","0.17329999804496765"
"166","0.18850000202655792","0.18850000202655792","0.18850000202655792"
"177","0.20309999585151672","0.20309999585151672","0.20309999585151672"
"188","0.219200000166893","0.219200000166893","0.219200000166893"
"199","0.2337999939918518","0.2337999939918518","0.2337999939918518"
"210","0.2506999969482422","0.2506999969482422","0.2506999969482422"
"221","0.2636999785900116","0.2636999785900116","0.2636999785900116"
"232","0.27399998903274536","0.27399998903274536","0.27399998903274536"
"243","0.2888999879360199","0.2888999879360199","0.2888999879360199"
"254","0.3003999888896942","0.3003999888896942","0.3003999888896942"
"265","0.31349998712539673","0.31349998712539673","0.31349998712539673"
"276","0.3262999951839447","0.3262999951839447","0.3262999951839447"
