"Step","Readout, CN=2, B0=0, B1=0, K=128, L=32, N=16, p_B=0.75, p_C=0.75, B=2, eps=0, lamb=1e-09 - ic1_acc","Readout, CN=2, B0=0, B1=0, K=128, L=32, N=16, p_B=0.75, p_C=0.75, B=2, eps=0, lamb=1e-09 - ic1_acc__MIN","Readout, CN=2, B0=0, B1=0, K=128, L=32, N=16, p_B=0.75, p_C=0.75, B=2, eps=0, lamb=1e-09 - ic1_acc__MAX"
"1","0.033299997448921204","0.033299997448921204","0.033299997448921204"
"12","0.03359999880194664","0.03359999880194664","0.03359999880194664"
"23","0.033900000154972076","0.033900000154972076","0.033900000154972076"
"34","0.034199997782707214","0.034199997782707214","0.034199997782707214"
"45","0.035099998116493225","0.035099998116493225","0.035099998116493225"
"56","0.035099998116493225","0.035099998116493225","0.035099998116493225"
"67","0.03529999777674675","0.03529999777674675","0.03529999777674675"
"78","0.03619999811053276","0.03619999811053276","0.03619999811053276"
"89","0.03680000081658363","0.03680000081658363","0.03680000081658363"
"100","0.03739999979734421","0.03739999979734421","0.03739999979734421"
"111","0.03790000081062317","0.03790000081062317","0.03790000081062317"
"122","0.03830000013113022","0.03830000013113022","0.03830000013113022"
"133","0.03879999741911888","0.03879999741911888","0.03879999741911888"
"144","0.03959999978542328","0.03959999978542328","0.03959999978542328"
"155","0.04010000079870224","0.04010000079870224","0.04010000079870224"
"166","0.04079999774694443","0.04079999774694443","0.04079999774694443"
"177","0.04149999842047691","0.04149999842047691","0.04149999842047691"
"188","0.041600000113248825","0.041600000113248825","0.041600000113248825"
"199","0.042399998754262924","0.042399998754262924","0.042399998754262924"
"210","0.04339999705553055","0.04339999705553055","0.04339999705553055"
"221","0.04360000044107437","0.04360000044107437","0.04360000044107437"
"232","0.043699998408555984","0.043699998408555984","0.043699998408555984"
"243","0.04429999738931656","0.04429999738931656","0.04429999738931656"
"254","0.04519999772310257","0.04519999772310257","0.04519999772310257"
"265","0.04609999805688858","0.04609999805688858","0.04609999805688858"
"276","0.046299997717142105","0.046299997717142105","0.046299997717142105"
"287","0.04659999907016754","0.04659999907016754","0.04659999907016754"
"298","0.047599997371435165","0.047599997371435165","0.047599997371435165"
"309","0.048499997705221176","0.048499997705221176","0.048499997705221176"
"320","0.049300000071525574","0.049300000071525574","0.049300000071525574"
"331","0.05049999803304672","0.05049999803304672","0.05049999803304672"
"342","0.05089999735355377","0.05089999735355377","0.05089999735355377"
"353","0.05169999971985817","0.05169999971985817","0.05169999971985817"
"364","0.05199999734759331","0.05199999734759331","0.05199999734759331"
"375","0.05249999836087227","0.05249999836087227","0.05249999836087227"
"386","0.05309999734163284","0.05309999734163284","0.05309999734163284"
"397","0.05389999970793724","0.05389999970793724","0.05389999970793724"
"408","0.054899998009204865","0.054899998009204865","0.054899998009204865"
"419","0.05509999766945839","0.05509999766945839","0.05509999766945839"
"430","0.056299999356269836","0.056299999356269836","0.056299999356269836"
"441","0.05649999901652336","0.05649999901652336","0.05649999901652336"
"452","0.0568000003695488","0.0568000003695488","0.0568000003695488"
"463","0.05649999901652336","0.05649999901652336","0.05649999901652336"
"474","0.05769999697804451","0.05769999697804451","0.05769999697804451"
"485","0.05889999866485596","0.05889999866485596","0.05889999866485596"
"496","0.05959999933838844","0.05959999933838844","0.05959999933838844"
"507","0.05989999696612358","0.05989999696612358","0.05989999696612358"
"518","0.06129999831318855","0.06129999831318855","0.06129999831318855"
"529","0.06239999830722809","0.06239999830722809","0.06239999830722809"
